month,username,message,faction
2014-8-10,-0.047,-5.10%,3
2014-9-10,0.088,11.10%,3
2014-10-10,0.037,3.40%,3
2014-11-10,-0.002,2.80%,3
2014-12-10,0.065,6.50%,3
2014-1-11,0.023,1.90%,3
2014-2-11,0.032,4.50%,3
2014-3-11,-0.001,2.30%,3
2014-4-11,0.028,2.70%,3
2014-5-11,-0.014,-1.50%,3
2014-6-11,-0.018,-2.20%,3
2014-7-11,-0.021,-3.60%,3
2014-8-11,-0.057,-7.30%,3
2014-9-11,-0.072,-10.70%,3
2014-10-11,0.108,13.70%,3
2014-11-11,-0.005,-0.50%,0
2014-12-11,0.009,-0.50%,0
2014-1-12,0.044,6.50%,0
2014-4-13,0.018,0.50%,0
2014-5-13,0.021,2.10%,0
2014-6-13,-0.015,-2.00%,0
2014-7-13,0.049,6.10%,0
2014-8-13,-0.031,-3.90%,0
2014-9-13,0.03,5.10%,0
2014-10-13,0.045,3.60%,0
2014-11-13,0.028,1.20%,0
2014-12-13,0.024,2.90%,0
2014-1-14,-0.036,-2.20%,0
2014-2-14,0.043,4.70%,0
